Number of bases in toehold in MFE,Total free site in Toehold,The overall free site in Toehold in MFE,free site of the branch migration region,overall free site,The G/C ratio in the Toehold region,The free energy of the whole strand I,The free energy of MFE,The number of pairs in the branch migration ,The number of bases remaining in the toehold of the entire strand,The number of hydrogen bonds in MFE,Number of free bases in the ring,Number of free bases in the biggest ring,Bonding of intermediates (number of hydrogen bonds),The amount of intermediates,Whether there are other intermediates,Label(0/1/2)
5.7266,13.1929,13.1929,23.7638,36.9567,0.3333,-2.63,-1.97,6.75908,5.72668,7.58056,6.7755,6.7755,13.13685,0.00632,0.0288,1
2.8647,8.3804,6.6033,22.4016,30.782,0.5,-3.49,-3.2,7.69782,3.52721,10.9106,6.6618,4.6767,13.05377,0.0178,0,2
0.996,13.3247,2.988,25.8516,39.1763,0.6667,-3.06,-2.05,5.9345,5.10144,3.92231,4.2285,4.345,14.8165,1.02,0.1863,0
5.6586,12.125,12.125,23.9808,36.1058,0.1667,-2.61,-1.97,6.6979,5.65867,7.12292,6.3303,6.3303,11.387545,0.00447,0.00225,2
5.6512,15.9607,15.9607,23.9641,39.9248,0.8333,-2.63,-1.97,6.64507,5.6512,7.37746,6.5818,6.5818,16.5729,3.42,0.005009,1
5.5928,15.7836,15.7836,24.3596,40.1432,0.8333,-2.71,-1.97,6.5683,5.59283,7.08516,6.6937,6.6937,15.8705,1.97,0.052012,0
5.6447,16.0973,16.0973,23.8428,39.9401,0.8333,-2.62,-1.97,6.7044,5.64473,7.16386,6.4852,6.4852,13.9885,1.55,0.00309,0
5.4204,13.3562,13.3562,23.974,37.3302,0.5,-2.65,-1.97,6.67119,5.42037,7.25673,6.4425,6.4425,14.3045,0.0539,0.00334,0
5.7397,13.3813,13.3813,23.9852,37.3665,0.3333,-2.56,-1.97,6.6252,5.73965,7.37604,6.5776,6.5776,11.6543,0.0508,0.00301,1
5.621,15.8972,15.8972,24.2574,40.1546,0.8333,-2.69,-1.97,6.6121,5.27424,7.17601,6.6999,6.6999,16.1135,0.981,0.0384,0
5.9967,11.9934,11.9934,23.2996,35.293,0,-2.48,-1.97,6.82751,5.9967,8.15018,6.8468,6.8468,7.0110244,0.00409,0.00321,2
5.9347,13.8509,13.8509,23.6131,37.464,0.3333,-2.51,-1.97,6.72675,5.93464,7.8498,6.7674,6.7674,12.29427,0.032,0.00326,1
5.8548,13.6411,13.6411,23.8504,37.4915,0.3333,-2.53,-1.97,6.65319,5.8548,7.74051,6.7456,6.7456,12.095,0.0614,0.00376,1
5.613,14.8862,14.8862,24.0539,38.9401,0.666666667,-2.64,-1.97,6.6149,5.61309,7.28967,6.567,6.567,14.6696,0.55,0.0161,1
5.7928,16.383,16.383,23.7535,40.1365,0.833333333,-2.61,-1.97,6.75653,5.79283,7.563,6.7765,6.7765,15.6726,0.36,0.0267,0
5.4372,13.4735,13.4735,25.0234,38.4969,0.5,-2.7,-1.97,6.3457,5.43717,6.72815,6.597,6.597,13.2088,0.0551,0.0947,1
5.8523,14.6248,14.6248,23.6881,38.3129,0.5,-2.55,-1.97,6.70552,5.85235,7.71171,6.7471,6.7471,12.437,0.472,0.0036,1
5.9266,12.7952,12.7952,23.3434,36.1386,0.166666667,-2.52,-1.97,6.81831,5.92666,8.0381,6.8415,6.8415,11.06005,0.507,0.4298,2
5.1817,12.6738,12.6738,25.9633,38.6371,0.5,-2.84,-1.97,5.9233,5.18173,6.22835,6.587,6.587,11.932,0.406,0.01258,1
0.998,6.6879,1.996,25.8404,32.5283,0.333333333,-3.26,-2.37,6.481,2.9665,7.65578,7.05,7.05,10.95959,0.0213,0.000917,2
5.8524,13.6482,13.6482,23.7997,37.4479,0.333333333,-2.56,-1.97,6.6757,5.85237,7.54282,6.6921,6.6921,11.68309,0.0207,0.00342,2
5.6739,15.0964,15.0964,24.117,39.2134,0.666666667,-2.65,-1.97,6.6466,5.67393,7.19523,6.6519,6.6519,14.4631,0.105,0.0269,0
1.9654,8.8354,3.9308,23.6264,32.4618,0.5,-3.31,-2.49,6.9312,3.9312,10.0659,8.1944,4.3994,13.1961,0.0554,0.00625,2
1.9446,9.8308,4.8745,23.679,33.5098,0.666666667,-3.32,-2.94,6.9112,3.9272,9.9736,8.1631,4.3784,11.3591,0.113,0.00604,2
1.973,10.055,4.9227,23.4023,33.4573,0.666666667,-3.27,-2.9,7.00298,4.0144,10.02257,8.174,4.4141,14.0676,0.426,0.00329,2
1.9433,11.0213,5.8299,23.4086,34.4299,0.833333333,-3.28,-2.9,6.996,4.0044,9.93405,8.1347,4.3975,15.6693,0.566,0.00344,1
5.7968,13.4339,13.4339,24.0557,37.4896,0.333333333,-2.57,-1.97,6.61514,5.7968,7.34711,6.5283,6.5283,12.78171,0.027,0.00283,1
5.6565,14.0554,14.0554,24.1939,38.2493,0.333333333,-2.61,-1.97,6.57661,5.6565,7.21972,6.4825,6.4825,13.87805,0.0444,0.00287,1
5.6975,14.1519,14.1519,24.1118,38.2637,0.5,-2.61,-1.97,6.60185,5.6975,7.25633,6.5135,6.5135,13.0592,0.141,0.00314,2
5.5707,14.7595,14.7595,24.088,38.8475,0.666666667,-2.65,-1.97,6.60677,5.5707,7.25011,6.5327,6.5327,14.6692,0.181,0.00355,1
